
 Lista de Imóveis da Caixa;;Data de geração:;12/12/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787710120285 ;SP ;ARACATUBA ;SAO JOSE ;AVENIDA AGUA FUNDA, N. 1097, LT 02, QD B ;74.844,29;141.000,00;46.92;Casa, 0.00 de área total, 44.82 de área privativa, 141.34 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710120285
 8787708458355 ;SP ;ARACATUBA ;RESID AIMORE ;RUA 18, N. 79, QD D2 ;70.036,73;130.000,00;46.13;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708458355
 8787711752951 ;SP ;ARACATUBA ;RES AIMORE ;R DEZESSETE, N. 388, LT 17 QD E2 ;83.940,76;155.000,00;45.85;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711752951
 8787712024704 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ; RUA SARGENTO PM ÉVERTON COSTA ZONZINI, N. 89, ANTIGA RUA OITO ;67.526,85;124.000,00;45.55;Casa, 44.82 de área total, 44.82 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712024704
 8787711682201 ;SP ;ARACATUBA ;RES AIMORE ; RUA DEZOITO, N. 402, LT 19 QD G2 ;76.269,10;140.000,00;45.53;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711682201
 8444421906252 ;SP ;ARACATUBA ;AVIACAO ;RUA AVIACAO, N. 1196, Apto 42, BL 4B ;44.171,59;81.000,00;45.47;Apartamento, 0.00 de área total, 42.72 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421906252
 8787711534628 ;SP ;ARACATUBA ;CHACARAS PATRIMONIO SANTANA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 201, BL 12 VG 271 ;85.653,23;154.000,00;44.39;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711534628
 8787711660542 ;SP ;ARACATUBA ;JARDIM DO TREVO ; RUA DEZESSEIS, N. 266, LOTE 10, QUADRA C2 ;75.964,42;134.500,00;43.53;Casa, 43.92 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711660542
 8028160111360 ;SP ;ARACATUBA ;ARACATUBA ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 339, Apto 34, 3º ANDAR, BLOCO 01 ;74.620,98;128.818,31;42.08;Apartamento, 81.69 de área total, 50.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8028160111360
 8555525777051 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 404, BL 5 ;74.146,96;128.000,00;42.08;Apartamento, 87.27 de área total, 47.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525777051
