id_imovel;endereco;bairro;cidade;valor_minimo_leilao;desconto_percentual;investimento_total_6m;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;score_geral;recomendacao;nivel_risco
 8787708206194 ;RUA SANTA AMELIA, N. 190, Apto 22, BL 01;JARDIM DO LAGO;SAO PAULO;123904.77;39.56;184357.15;248235.0;41636.19;22.58;63.48;ANALISAR_MELHOR;BAIXO
 8444417775181 ;RUA JERIBATUBA, N. 471, Apto 41, 4º ANDAR;PARADA XV DE NOVEMBRO;SAO PAULO;141432.76;39.56;204583.38;274911.0;45758.02;22.37;63.45;ANALISAR_MELHOR;BAIXO
 8787708774567 ;RUA AGRIMENSOR SUGAYA, N. 1200, Apto 08, BLOCO 02;COLONIA (ZONA LESTE);SAO PAULO;129948.9;39.56;191292.82;256633.0;42450.88;22.19;63.43;ANALISAR_MELHOR;BAIXO
 8787708517831 ;AVENIDA NORDESTINA, N. 2780, Apto 208, TORRE 02;SÃO MIGUEL PAULISTA;SAO PAULO;128135.66;39.56;189151.51;252866.25;41261.35;21.81;63.37;ANALISAR_MELHOR;BAIXO
 8555534273290 ;AVENIDA ALEXIOS JAFET, N. 595, Apto 41, T 05;DISTRITO DE JARAGUÁ;SAO PAULO;119673.87;39.56;179343.78;239096.0;38595.49;21.52;63.33;ANALISAR_MELHOR;BAIXO
 8787709246181 ;R EMILIA PILON, N. 47, Apto 36, BL 2;JARDIM DO LAGO;SAO PAULO;125718.01;39.56;186315.45;248235.0;39971.63;21.45;63.31;ANALISAR_MELHOR;BAIXO
 8787706716233 ;RUA MARCO GAGLIANO, N. 55, Apto 1501, 29º SUBDISTRITO SANTO AMARO;AMERICANOPOLIS;SAO PAULO;135993.04;39.56;198147.48;263363.75;42002.27;21.2;63.28;ANALISAR_MELHOR;BAIXO
 8787712088460 ;RUA FORTE DA RIBEIRA, N. 250, Apto 01, BL 05;PARQUE SAO LOURENCO;SAO PAULO;132608.32;39.56;194164.99;256633.0;40009.52;20.61;63.19;ANALISAR_MELHOR;BAIXO
 8787708774630 ;RUA BARAO CARLOS DE SOUSA ANHUMAS, N. 380, Apto 31, BLOCO 09;JARDIM RECANTO VERDE;SAO PAULO;121487.11;39.56;181293.08;238910.75;36790.58;20.29;63.14;ANALISAR_MELHOR;BAIXO
 8787714973223 ;RUA GOIATA, N. 232, Apto 502, BL 01;PARADA XV DE NOVEMBRO;SAO PAULO;132970.97;39.56;194478.65;255027.5;38460.12;19.78;63.06;ANALISAR_MELHOR;BAIXO
 8787707402135 ;RUA KENKITI SHIMOMOTO, N. SN, Apto 45,  BL 01;JARDIM BOA VISTA (ZONA OESTE);SAO PAULO;134179.8;39.56;195862.18;256633.0;38566.91;19.69;63.05;ANALISAR_MELHOR;BAIXO
 8444408086182 ;RUA AMANARI, N. 420, Apto 03, BL04;VILA SANTA TERESINHA;SAO PAULO;138473.13;37.06;201080.98;268612.5;43702.55;21.73;63.05;ANALISAR_MELHOR;BAIXO
 8787711042393 ;RUA MARIO REGALLO PEREIRA, N. 128, Apto 47, BL 5;JARDIM GILDA MARIA;SAO PAULO;128740.08;39.56;189579.28;248235.0;37197.38;19.62;63.04;ANALISAR_MELHOR;BAIXO
 8555530641413 ;RUA CATULE, N. 101, Apto 4, PAV TERREO, BL 11;JARDIM SANTA TEREZINHA (ZONA LESTE);SAO PAULO;122895.99;39.56;182823.67;239096.0;35637.58;19.49;63.02;ANALISAR_MELHOR;BAIXO
 8787710068860 ;RUA SALVADOR GIANETTI, N. 498, Apto 02, BL 2 PAVIMENTO TERREO DO SUBCOND 2;GUAIANAZES;SAO PAULO;139015.11;39.56;201330.32;261696.5;37964.73;18.86;62.92;ANALISAR_MELHOR;BAIXO
 8787709030812 ;AVENIDA NORDESTINA, N. 2780, Apto 806, TORRE 02;SÃO MIGUEL PAULISTA;SAO PAULO;129344.49;39.56;190169.04;246938.25;35659.97;18.75;62.9;ANALISAR_MELHOR;BAIXO
 1444415709680 ;RUA LUIS ALBERTO LEITE MASCARENHAS, N. 39, Apto 402,;PARQUE GUARANI;SAO PAULO;124746.96;37.06;185098.72;244777.0;38242.91;20.66;62.89;ANALISAR_MELHOR;BAIXO
 8444428796371 ;RUA CORREIA RIBEIRO, N. 138, Apto 11, 138 146;JARDIM SOARES;SAO PAULO;126322.42;42.59;186374.21;236008.5;30152.71;16.18;62.88;ANALISAR_MELHOR;BAIXO
 8787712493526 ;RUA FORTE DA RIBEIRA, N. 250, Apto 26, BL 04;PARQUE SAO LOURENCO;SAO PAULO;130553.32;39.56;191537.59;248235.0;35532.81;18.55;62.87;ANALISAR_MELHOR;BAIXO
 8555520076969 ;RUA AVELADA, N. 87, Apto 102, BL 01;VILA MATILDE;SAO PAULO;108444.81;40.75;168092.39;215581.6;29371.16;17.47;62.85;ANALISAR_MELHOR;BAIXO
 8787709190259 ;AVENIDA NORDESTINA, N. 2780, Apto 1706, TORRE 02;DIST DE SAO MIGUEL P;SAO PAULO;129948.9;39.56;190821.82;246938.25;35105.12;18.4;62.85;ANALISAR_MELHOR;BAIXO
 8787710437165 ;RUA VICENTE CARDUCHO, N. 249, Apto 142, BL 03;JARDIM REMO;SAO PAULO;139015.11;39.56;201246.32;259967.5;36654.66;18.21;62.82;ANALISAR_MELHOR;BAIXO
 8787704390080 ;AVENIDA AFONSO DE SAMPAIO E SOUSA, N. 339, Apto 58, 5º ANDAR - TORRE 2;JARDIM NOSSA SENHORA DO CARMO;SAO PAULO;146953.08;38.77;209567.32;271719.0;38971.26;18.6;62.78;ANALISAR_MELHOR;BAIXO
 8444430622776 ;AVENIDA GALEAO COUTINHO, N. 165, Apto 4,;PARQUE SAO VICENTE;SAO VICENTE;135539.73;41.07;195615.51;186219.0;-20569.65;-10.52;62.76;ANALISAR_MELHOR;BAIXO
 8787713479667 ;RUA ENEAS CAMARGO, N. 388, Apto 14, BL 01;CHACARA MARIA TRINDADE;SAO PAULO;138410.69;39.56;200431.54;256633.0;34682.96;17.3;62.67;ANALISAR_MELHOR;BAIXO
 1787700467578 ;RUA PROFESSOR HASEGAWA, N. 798, Apto 24, TORRE B;COLONIA (ZONA LESTE);SAO PAULO;119590.43;37.06;178938.66;232612.25;33759.32;18.87;62.61;ANALISAR_MELHOR;BAIXO
 8787707948260 ;RUA PORTO DE PALOS, N. 31, Apto 138, TORRE A;VILA ZAT;SAO PAULO;132970.97;39.56;194088.65;247000.0;32377.65;16.68;62.58;ANALISAR_MELHOR;BAIXO
 8787709806349 ;RUA CARMEM SILVA, N. 55, Apto 1405, 13 PAV TR 02 VAGA DE GARAGEM N. 87;VILA COSMOPOLITA;SAO PAULO;146340.78;38.77;209548.04;267995.0;36012.17;17.19;62.56;ANALISAR_MELHOR;BAIXO
 8787710406634 ;AVENIDA NORDESTINA, N. 2800, Apto 407, TORRE 02;SÃO MIGUEL PAULISTA;SAO PAULO;132970.97;39.56;194019.65;245579.75;31301.52;16.13;62.49;ANALISAR_MELHOR;BAIXO
 8787706976987 ;RUA ARROIO SARANDI, N. 65, Apto 57, PAV 05 BL 02;CONJUNTO HABITACIONAL SANTA ETELVINA III;SAO PAULO;135993.04;39.56;197412.48;248235.0;30539.16;15.47;62.38;ANALISAR_MELHOR;BAIXO
 8787712764724 ;PRACA AMIANTO, N. 30, Apto 1304, BL 03 MODULO II;VILA LOURDES;SAO PAULO;142695.06;32.05;205844.66;272811.5;43008.43;20.89;62.29;ANALISAR_MELHOR;BAIXO
 1444418501125 ;AVENIDA PRESIDENTE KENNEDY, N. 14078, Apto 01,;SOLEMAR;PRAIA GRANDE;122617.29;46.5;186504.5;252994.5;43613.78;23.38;61.97;ANALISAR_MELHOR;BAIXO
 8787710464286 ;RUA AURORA DO TOCANTINS, N. 453, Apto 303, HIS;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;105600.0;40.0;166292.0;202534.3;20476.7;12.31;61.92;ANALISAR_MELHOR;BAIXO
 8444417414820 ;RUA CORONEL SILVA TELLES, N. 268, Apto 33,;PARQUE SAO VICENTE;SAO VICENTE;131801.91;43.68;190503.05;170358.75;-30365.82;-15.94;61.9;ANALISAR_MELHOR;BAIXO
 8787708802064 ;AVENIDA NORDESTINA, N. 2780, Apto 2002, BL 01;CIDADE NOVA SAO MIGUEL;SAO PAULO;131459.94;39.56;191826.74;234032.5;23939.24;12.48;61.89;ANALISAR_MELHOR;BAIXO
 8444418053384 ;RUA SENADOR LUCIO BITTENCOURT, N. 370, Apto 22, LOT ESPLANADA DOS BARREIROS;ESPLANADA DOS BARREIROS;SAO VICENTE;106667.03;40.75;161964.72;146931.75;-23848.88;-14.72;61.81;ANALISAR_MELHOR;BAIXO
 8555530638102 ;AVENIDA CELLULA MATTER, N. 301, Apto 11,;PARQUE CONTINENTAL;SAO VICENTE;77043.32;42.08;126813.36;108642.0;-24689.88;-19.47;61.77;ANALISAR_MELHOR;BAIXO
 8787708812906 ;AVENIDA NORDESTINA, N. 2780, Apto 510, TORRE 01;SÃO MIGUEL PAULISTA;SAO PAULO;120882.7;39.56;179584.32;217174.75;20875.96;11.62;61.75;ANALISAR_MELHOR;BAIXO
 8787713019607 ;AVENIDA NORDESTINA, N. 2800, Apto 2, PCD TORRE 1;CIDADE NOVA SAO MIGUEL;SAO PAULO;134179.8;39.56;194836.18;235514.5;22565.33;11.58;61.74;ANALISAR_MELHOR;BAIXO
 8444413560881 ;RUA CORONEL SILVA TELES, N. 244, Apto 21,;PARQUE SAO VICENTE;SAO VICENTE;145116.17;38.77;205901.3;186774.75;-30333.03;-14.73;61.56;ANALISAR_MELHOR;BAIXO
 8787702224387 ;ESTRADA DO CORREDOR, N. 73, Apto 41, BL 10;PARQUE PANAMERICANO;SAO PAULO;139015.11;39.56;200232.32;239096.0;20840.23;10.41;61.54;ANALISAR_MELHOR;BAIXO
